blob 192 ->	 a=    110	 p=   79.60 (    0.00 extern)	 pconvex=   48.17	 ext=0	 c=4.58	 l=   36.81
blob 193 ->	 a=    106	 p=   77.94 (    0.00 extern)	 pconvex=   47.56	 ext=0	 c=4.56	 l=   36.03
blob 194 ->	 a=    109	 p=   77.94 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.44	 l=   35.94
blob 195 ->	 a=    110	 p=   79.60 (    0.00 extern)	 pconvex=   48.10	 ext=0	 c=4.58	 l=   36.81
blob 196 ->	 a=    116	 p=   78.77 (    0.00 extern)	 pconvex=   48.51	 ext=0	 c=4.26	 l=   36.18
blob 197 ->	 a=    112	 p=   77.36 (    0.00 extern)	 pconvex=   48.09	 ext=0	 c=4.27	 l=   35.54
blob 198 ->	 a=    112	 p=   78.77 (    0.00 extern)	 pconvex=   48.14	 ext=0	 c=4.41	 l=   36.30
blob 199 ->	 a=    108	 p=   79.01 (    0.00 extern)	 pconvex=   47.91	 ext=0	 c=4.62	 l=   36.57
blob 200 ->	 a=    100	 p=   78.43 (    0.00 extern)	 pconvex=   47.17	 ext=0	 c=4.89	 l=   36.47
blob 201 ->	 a=    101	 p=   79.60 (    0.00 extern)	 pconvex=   47.43	 ext=0	 c=4.99	 l=   37.07
blob 202 ->	 a=    110	 p=   79.01 (    0.00 extern)	 pconvex=   48.06	 ext=0	 c=4.50	 l=   36.48
blob 203 ->	 a=    122	 p=   78.77 (    0.00 extern)	 pconvex=   49.09	 ext=0	 c=4.05	 l=   36.00
blob 204 ->	 a=    177	 p=   49.46 (    0.00 extern)	 pconvex=   48.42	 ext=0	 c=1.10	 l=   14.32
blob 205 ->	 a=     94	 p=   80.18 (    0.00 extern)	 pconvex=   47.22	 ext=0	 c=5.41	 l=   37.58
blob 206 ->	 a=     98	 p=   81.01 (    0.00 extern)	 pconvex=   47.77	 ext=0	 c=5.30	 l=   37.91
blob 207 ->	 a=    101	 p=   80.43 (    0.00 extern)	 pconvex=   47.78	 ext=0	 c=5.10	 l=   37.52
blob 208 ->	 a=    106	 p=   78.77 (    0.00 extern)	 pconvex=   47.74	 ext=0	 c=4.66	 l=   36.48
blob 209 ->	 a=    119	 p=   79.60 (    0.00 extern)	 pconvex=   48.95	 ext=0	 c=4.24	 l=   36.54
blob 210 ->	 a=    116	 p=   81.01 (    0.00 extern)	 pconvex=   48.90	 ext=0	 c=4.48	 l=   37.39
blob 211 ->	 a=    116	 p=   78.18 (    0.00 extern)	 pconvex=   48.49	 ext=0	 c=4.21	 l=   35.87
blob 212 ->	 a=    106	 p=   78.77 (    0.00 extern)	 pconvex=   47.67	 ext=0	 c=4.66	 l=   36.48
blob 213 ->	 a=    104	 p=   80.18 (    0.00 extern)	 pconvex=   47.88	 ext=0	 c=4.94	 l=   37.32
blob 214 ->	 a=    100	 p=   79.01 (    0.00 extern)	 pconvex=   47.35	 ext=0	 c=4.94	 l=   36.77
blob 215 ->	 a=    106	 p=   80.43 (    0.00 extern)	 pconvex=   48.13	 ext=0	 c=4.86	 l=   37.38
blob 216 ->	 a=    108	 p=   77.36 (    0.00 extern)	 pconvex=   47.78	 ext=0	 c=4.39	 l=   35.63
blob 217 ->	 a=     96	 p=   78.77 (    0.00 extern)	 pconvex=   47.22	 ext=0	 c=5.14	 l=   36.77
